Date;Libellé;Débit;Crédit;Solde
03/11/2026;VIREMENT SALAIRE ENTREPRISE SAS;;2200,00;4650,30
04/11/2026;CARREFOUR MARKET CB;54,32;;4595,98
05/11/2026;SNCF CONNECT TGV;89,00;;4506,98
07/11/2026;EDF FACTURE ELECTRICITE;76,45;;4430,53
10/11/2026;FREE MOBILE PRELEVEMENT;19,99;;4410,54
12/11/2026;NETFLIX.COM;15,99;;4394,55
15/11/2026;PHARMACIE DU CENTRE CB;23,10;;4371,45
18/11/2026;RETRAIT DAB BNP PARIBAS;100,00;;4271,45
20/11/2026;VIR SEPA LOYER APPARTEMENT;750,00;;3521,45
25/11/2026;AMAZON.FR PAIEMENT CB;42,50;;3478,95
28/11/2026;VIREMENT SALAIRE ENTREPRISE SAS;;2200,00;5678,95
02/12/2026;TOTALENERGIES STATION CB;65,20;;5613,75
